State Code,Dist.Code,State,Area Name,No_HH,F_SC,M_ST,F_ST,M_LIT,M_ILL,MAINWORK_M,MAIN_CL_M,MAIN_AL_M,MAIN_HH_M,MARGWORK_M,MARG_HH_F,MARG_OT_F,MARGWORK_3_6_M,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_F,MARG_CL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_M,MARG_HH_0_3_F
9,199,Uttar Pradesh,Mirzapur,45873.0,34903.0,868.0,1125.0,83481.0,37485.0,33701.0,7259.0,7303.0,2466.875,16279.0,2148.625,4771.0,70986.0,13446.0,14721.0,1105.0,1391.0,603.0,1606.5,3777.0,2833.0,574.0,1186.0,2337.0
9,200,Uttar Pradesh,Sonbhadra,26110.0,16084.0,11010.0,15892.0,35068.0,18718.0,12768.0,2896.0,4145.0,489.0,8877.0,683.0,2347.0,32141.0,7105.0,11022.0,645.0,1193.0,272.0,446.0,1708.0,1772.0,394.0,1077.0,2319.0
9,201,Uttar Pradesh,Etah,29332.0,13640.0,6.0,11.0,45699.0,21986.0,21381.0,8979.0,5318.0,777.0,6350.0,674.0,2027.0,39954.0,5351.0,5168.0,719.0,1176.0,262.0,512.0,1753.0,999.0,404.0,455.0,521.0
9,202,Uttar Pradesh,Kanshiram Nagar,24374.0,12005.0,3.0,10.0,31581.0,23166.0,19474.0,8406.0,4699.0,482.0,5269.0,687.0,1565.0,30004.0,4321.0,4899.0,605.0,1566.0,163.0,534.0,1210.0,948.0,659.0,342.0,435.0
10,203,Bihar,Pashchim Champaran,51653.0,18638.0,5882.0,8772.0,54666.0,44626.0,24326.0,3947.0,13013.0,515.0,16859.0,852.0,2387.0,58107.0,14355.0,21343.0,1128.0,1682.0,258.0,549.0,1796.0,2504.0,481.0,1400.25,3829.875
10,204,Bihar,Purba Champaran,81617.0,26577.0,340.0,492.0,80100.0,60896.25,36682.0,7409.0,18562.75,686.0,16736.0,1072.0,2552.0,95943.0,14204.0,24498.0,1573.0,2720.0,349.0,771.0,2137.0,2532.0,805.0,1400.25,3829.875
10,205,Bihar,Sheohar,13706.0,4041.0,9.0,8.0,10066.0,9421.0,5073.0,936.0,3210.0,75.0,2557.0,360.0,550.0,11857.0,2138.0,2960.0,275.0,275.0,41.0,200.0,390.0,419.0,70.0,310.0,616.0
10,206,Bihar,Sitamarhi,59867.0,13105.0,59.0,86.0,45343.0,44961.0,24063.0,4238.0,12811.0,623.0,11345.0,1037.0,2691.0,54896.0,9746.0,14301.0,878.0,1576.0,225.0,727.0,2118.0,1599.0,412.0,994.0,2583.0
10,207,Bihar,Madhubani,95167.0,25072.0,86.0,172.0,95616.0,60896.25,43261.0,9955.0,18562.75,891.0,19310.0,1603.0,2820.0,104304.0,15873.0,25284.0,2111.75,4401.0,424.0,1077.0,2238.0,3437.0,1258.375,1400.25,3829.875
10,208,Bihar,Supaul,37086.0,15590.0,362.0,430.0,36491.0,30028.0,14774.0,3456.0,8538.0,220.0,10851.0,740.0,1201.0,40894.0,9362.0,16680.0,1056.0,1840.0,195.0,460.0,938.0,1489.0,443.0,1100.0,3263.0
10,209,Bihar,Araria,48068.0,15029.0,1251.0,1947.0,35774.0,36655.0,20346.0,3689.0,12944.0,307.0,8858.0,849.0,1737.0,43225.0,7562.0,16412.0,728.0,1641.0,160.0,511.0,1340.0,1296.0,436.0,930.0,3252.0
10,210,Bihar,Kishanganj,45243.0,5660.0,2542.0,4363.0,32445.0,28117.0,20668.0,3659.0,12850.0,289.0,7022.0,607.0,1773.0,32872.0,6096.0,8429.0,533.0,628.0,97.0,366.0,1249.0,926.0,218.0,620.0,1755.0
10,211,Bihar,Purnia,62470.0,18687.0,5536.0,8448.0,47690.0,49716.0,28406.0,4355.0,18097.0,474.0,11843.0,887.0,2652.0,57157.0,10117.0,17016.0,771.0,1349.0,246.0,646.0,2163.0,1726.0,338.0,1298.0,3307.0
10,212,Bihar,Katihar,65330.0,13457.0,7050.0,11072.0,48112.0,47034.0,27646.0,4282.0,17093.0,344.0,12837.0,655.0,2087.0,54663.0,10817.0,16767.0,817.0,1103.0,185.0,440.0,1571.0,2020.0,332.0,1400.25,3829.875
10,213,Bihar,Madhepura,29333.0,13476.0,590.0,817.0,25353.0,25404.0,11484.0,2825.0,6626.0,163.0,7529.0,411.0,960.0,31744.0,6454.0,12825.0,833.0,1773.0,128.0,297.0,767.0,1075.0,351.0,779.0,2310.0
10,214,Bihar,Saharsa,28225.0,12382.0,206.0,310.0,27917.0,26628.0,12371.0,3324.0,5428.0,235.0,8026.0,483.0,1022.0,34148.0,6844.0,9915.0,905.0,1342.0,191.0,362.0,822.0,1182.0,362.0,823.0,2228.0
10,215,Bihar,Darbhanga,108679.0,35371.0,100.0,160.0,112338.0,60896.25,49531.0,9719.0,18562.75,1306.0,20094.375,1621.0,4245.0,118734.5,16859.5,24011.0,2111.75,2530.0,603.0,1034.0,3271.0,3550.75,647.0,1400.25,3829.875
10,216,Bihar,Muzaffarpur,91759.0,33939.0,292.0,418.0,103703.0,60896.25,40780.0,7290.0,15346.0,1164.0,20094.375,1713.0,5653.0,104938.0,16859.5,24681.0,2111.75,2751.0,603.0,1237.0,4712.0,3550.75,662.0,1400.25,3829.875
10,217,Bihar,Gopalganj,79096.0,29136.0,4000.0,5926.0,99495.0,60751.0,21594.0,7313.0,6776.0,663.0,20094.375,950.0,2729.0,116475.0,16859.5,21102.0,2111.75,3989.0,603.0,643.0,2140.0,3550.75,1258.375,1400.25,3829.875
10,218,Bihar,Siwan,93191.0,30181.0,5436.0,7838.0,133185.0,60896.25,31484.0,9934.0,7571.0,912.0,20094.375,1091.0,3882.0,118734.5,16859.5,22771.0,2111.75,4401.625,603.0,763.0,2986.0,3550.75,1258.375,1400.25,3829.875
